Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
441,45441.67979,تويست,Twist,Twist,مشروب طاقه,boycott,,,,
431,45433.49242,تويست,Twist,~~~؟~~~,Energy drink - مشروب طاقة ,unsure,,,,
144,1/29/2024,تويست,Twist,Management gate,مشروب طاقه بديل ل ريدبول ,alternative,,,,
80,1/24/2024,تييم,Pepsi,بيبسي,تابع لشركة بيبسي ,boycott,,,,
155,1/30/2024,تييم,Teem,Pepsi cola,"مكتوب علي العبوه 
ومعروف علي النت",boycott,,,,
351,3/30/2024,حمود بوعلام,Hamoud Boualem ,حمود بوعلام ,شركة جزائرية ,boycott,,,,
226,1/31/2024,حمود بوعلام,selecto,hamoud boualem,"بديل كوكا كولا غير متاكد
",unsure,,,,
374,45390.33874,دابر المسواك,MISWAK,شركة مصرية,https://shbabbek.com/show/228653,alternative,,,,
51,1/8/2024,دابر المسواك,Dabur Miswak,دابر إيجبت المحدودة,بديل معاجين الأسنان سيجنال وكلوزآب,alternative,,,,
375,45391.11006,دابر المسواك,Miswak,دابر إنترناشونال,معجون أسنان,unsure,,,,
384,45395.80526,دجاج كوكي,Koki,Americana Group,منتج مصنع من أمريكانا جروب,boycott,,,,
390,4/18/2024,دجاج كوكي,koki,Americana Group,تابع لشركة Americana ,boycott,,,,
153,1/30/2024,دومتي,Domty,شركة الصناعات الغذائية العربية (دومتي),"دومتي شركة مصرية الأصل تشتهر بمنتجاتها العديد في مصر وأشهرها ""جبنة فيتا""",alternative,,,,
175,1/30/2024,دومتي,Domty,Domty,شركة دومتي هل هي داعمة ام لا,unsure,,,,
405,4/26/2024,دى جى كير,DG CARE,الإسراء فارماسيوتيكال أوبتيما,إنتاج مصرى 100%,alternative,,,,
313,3/11/2024,دى جى كير,DG CARE,Al Esraa Pharmaceutical Optima,معجون أسنان,boycott,,,,
415,5/5/2024,ديدي,Didi,Xiaoju Kuaizhi Inc,"الشركة صينينة باستثناء حصة لاوبر بنسبة 12% اعتقد ممكن نعتبرها بديل
https://en.wikipedia.org/wiki/DiDi",unsure,,,,
