Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
129,1/29/2024,إنتيل,Intel,Intel,"https://www.alaraby.co.uk/economy/شركات-ضخمة-تدعم-إسرائيل-مالياً-تعرّف-إلى-أشهرها
يفضل استخدام vpn علشان الموقع مش شغال في مصر تقريبا او دا عندي بس",boycott,,,,
130,1/29/2024,اي ام دي,AMD,AMD,هي شركه بديلة لانتيل في المعالجات وبديله لنفيديا في كروت الشاشة,alternative,,,,
131,1/29/2024,الدرة,Durra,شركة الدرة العالمية للصناعات الغذائية,"موقع الشركة : 
https://aldurra.com/#about

وهذا منشور دعمهم لفلسطين :
https://www.facebook.com/DurraEgypt/posts/pfbid02ZMCTvHUr5phtycDUJwvKhYH6Coj9Va6iqEHHQMxi43n4MuQwaGVPXkr9dCZr2HbDl
",alternative,,,,
132,1/29/2024,شوكيلا,Chokella,Marbella,شوكولا ,unsure,,,,
133,"1/29/2024, 4/4/2024",test,test,test,testt | testtesttest,boycott,,,,
134,1/29/2024,بييرتيوب,Peertube,Peertube,بديل قوي لليوتيوب,alternative,,,,
135,1/29/2024,عربي,english,testcompany,i dont know,boycott,,,,
136,1/29/2024,نيوبايب,Newpip,Newpip,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
137,1/29/2024,ليبرتيوب,Libretube,Libretube,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
138,1/29/2024,يوتيوب ريفانزيد,Youtube revanced,Revanced,استعمال microG بدل جوجل ودا بيقلل الاستفاده ليهم وهو يوتيوب بدون اعلانات وبمميزات اكثر,boycott,,,,
139,1/29/2024,شركة 1,company 1,company 2,idk really why but yea,boycott,,,,
141,1/29/2024,تاكسيدو,Tuxedo,Taxedo,شركة كمبيوترات بديله لديل واتش بي,alternative,,,,
142,1/29/2024,سليمبوك,Slimbook,Slimbook,شركة كمبيوترات بديلة لديل واتش بي,boycott,,,,
143,"1/29/2024, 1/31/2024",لينكس,Linux,"Linux fundation, غير محددة",نظام تشغيل مفتوح المصدر بديل للويندوز وللماك | نظام تشغيل حُر ومجاني غير محتكر من قبل أي جهة.,alternative,,,,
144,"1/29/2024, 3/5/2024, 45433.49242, 45439.5416, 45441.67979",تويست,Twist,"Management gate, لا اعلم , ~~~؟~~~, Twist",مشروب طاقه بديل ل ريدبول  | هل هذا داعم ام بديل  | Energy drink - مشروب طاقة  |           | مشروب طاقه,"alternative, unsure, boycott",,,,
145,"1/29/2024, 5/16/2024",أوه,"O Eau, Eau",شركة النور للصناعة,مياه معدنية | زجاجة ماء,alternative,,,,
146,1/29/2024,فولت,Volt,Aje group,مشروب طاقه بديل ل ريدبول / مونستر,alternative,,,,
147,1/30/2024,ابو الولد,Abo Al Walad,شركة فرنسية,شركة فرنسية وبالتالي تكون مقاطعة,unsure,,,,
148,1/30/2024,يورياج,Uriage,Puig,". It is a spanish company
Uriage has skin care products
https://en.wikipedia.org/wiki/Puig_(company)

However they don't have stores in israel
https://www.uriage.com/AA/en/points-of-sale?coordinates=48.8766796%2C2.3189725&query=Europe%2C+Paris%2C+France",unsure,,,,
149,1/30/2024,QWE,QWE,QWEQWE,QWEQWE,boycott,,,,
150,1/30/2024,العربية هنااااا,ENGLISH HEREEE,QWEQWE,I DONT REALLY KNOW,boycott,,,,
151,1/30/2024,شوكلاته توديه,today chocolate ,today ,a jordanian company ,alternative,,,,
152,1/30/2024,فياجرا,viagra,Pfizer,"دواء مثبط للإنزيم ""PDE""، الهدف منه علاج المشاكل الجنسية الوظيفية مثل الضعف الجنسي وضعف الانتصاب، فعند حدوث إثارة جنسية يساعد هذا الدواء على تدفق الدم إلي القضيب فيحفز على الإنتصاب و استمراره.",unsure,,,,
153,1/30/2024,دومتي,Domty,"شركة الصناعات الغذائية العربية (دومتي), Domty","دومتي شركة مصرية الأصل تشتهر بمنتجاتها العديد في مصر وأشهرها ""جبنة فيتا"" | شركة دومتي هل هي داعمة ام لا","alternative, unsure",,,,
154,1/30/2024,كانديا,condia,candia,حليب يباع في الجزائر,unsure,,,,
156,1/30/2024,بيسكو مصر,Bisco misr,معرفش ,معرفش,boycott,,,,
157,"1/30/2024, 4/2/2024",لافازا,"Lavazza, Lavazza ","Lavazza, Lavazza ",قهوة كبسولات | قهوة إيطالي ,unsure,,,,
158,1/30/2024,ابل,ابل,ابل,قام تيم كوك الرئيس التنفذي لشركة ابل بالتبرع لاهل القتلى من الجنود الاسرائيليون ,boycott,,,,
159,"1/30/2024, 45442.88209",هوهوز,HOHOs,"ايديتا, إيديتا, أيدينا نفس شركة مولتو",هوهوز منتج من ايديتا المصرية مثل مولتو وبيك رولز.. كيف يكون احد منتجات الشركة داعم والمنتج الاخر بديل | نظرا لشراكتها مع شركة هوستس الأمريكية | راجعوا يا جدعان عاملين شغل كويس كملوا المعلومات صح بقى مش معقول,boycott,,,,
160,1/30/2024,شاي أحمد تي ,Ahmad Tea,أحمد تي ,يعتبر شاي أحمد تي من أبرز أنواع الشاي المتواجد فى السوق المصري، ولكنه تابع لشركة أوروبية، لذلك فينضم لقائمة المقاطعة، ويعتبر ضمن المنتجات الداعمة للكيان الصهيوني.,boycott,,,,
161,1/30/2024,بسكو مصر ,Bisco Misr ,Kellogg's,أعلنت شركة كلوجز الأمريكية المدرجة في بورصة نيويورك حصولها على 85.93% أي ما يعادل 9.8 مليون سهم من أسهم شركة بسكو مصر.,boycott,,,,
162,1/30/2024,جبن دومتي,Domty,شركة الصناعات الغذائية العربية,برجاء التأكد هل تتبع المقاطعة ام لا,unsure,,,,
